Station Name,Station Number,Data Owner,Latitude,Longitude,Location
WEATHER ST BELLFIELD,415801,"VIC - Department of Environment, Land, Water and Planning",-37.173258,142.547579,VIC
WEATHER ST.  WARTOOK,415800,"VIC - Department of Environment, Land, Water and Planning",-37.09335873,142.4345554,VIC
Weather stn @ NWCR,41000241,"NSW - Department of Planning, Industry and Environment – Water",-34.5619842,143.6645643,NSW
WEBBER SPUR,502263A,VIC - Melbourne Water Corporation (Melbourne Water),-37.5191,146.281,VIC
Weeli Wolli Springs,708016,WA - Department of Water and Environmental Regulation,-22.9158937,119.2116246,WA
Weemah Ch at End,130227A,"QLD - Department of Regional Development, Manufacturing and Water",-23.45647992,148.3299249,QLD
Weemah Ch at End,130227A,QLD - SunWater,-23.455374,148.33035,QLD
Weemah Ch at Flume,130224A,"QLD - Department of Regional Development, Manufacturing and Water",-23.64763672,148.0742859,QLD
Weemah Ch at Flume,130224A,QLD - SunWater,-23.650044,148.074115,QLD
Weir D/S,616094,WA - Department of Water and Environmental Regulation,-32.02109972,115.9201701,WA
Weir Rv at Gooray Rd,416208A,"QLD - Department of Regional Development, Manufacturing and Water",-28.4049,150.047,QLD
Weir U/S,616093,WA - Department of Water and Environmental Regulation,-32.02138754,115.9211303,WA
Weir_Mascot,416207A,"QLD - Department of Regional Development, Manufacturing and Water",-28.82381667,149.1081972,QLD
Weir_R Talwood,416202A,"QLD - Department of Regional Development, Manufacturing and Water",-28.49643333,149.4905,QLD
Weirs Farm,618601,WA - Department of Water and Environmental Regulation,-29.50571024,115.9428344,WA
Weirs Farm,508002,WA - Department of Water and Environmental Regulation,-29.50571024,115.9428344,WA
WELCOME RIVER AT WOOLNORTH,14223.1,"TAS - Department of Primary Industries, Parks, Water and Environment",-40.777803,144.75564,TAS
Welcome_Ck Moore Pk,135005A,"QLD - Department of Regional Development, Manufacturing and Water",-24.77669781,152.2809277,QLD
Wellards,510257,WA - Department of Water and Environmental Regulation,-33.9468671,118.0993379,WA
Wellards,602003,WA - Department of Water and Environmental Regulation,-33.9468671,118.0993379,WA
WELLESLEY (ROWES),222004,"NSW - Department of Planning, Industry and Environment – Water",-36.9954,149.0937,NSW
"Wellington Dam Daily Dam Water Level, Bunbury, Sou",PI_321995.1,WA - Water Corporation,-33.385948,116.0100675,WA
Wellington EC Pontn,A4261125,SA - Department for Environment and Water,-35.3128,139.3808,SA
Wellington IPS,A4260532,SA - Department for Environment and Water,-35.2984,139.4011,SA
WELLINGTON M.WEIR,225711,"VIC - Department of Environment, Land, Water and Planning",-38.06194444,147.1391667,VIC
Wellington Wsl,ODSS_18320_WSLAHD.1,WA - Water Corporation,-33.385948,116.0100675,WA
Wellington Wsl,ODSS_18320_STAMN.1,WA - Water Corporation,-33.385948,116.0100675,WA
Wellington Wsl Logger,ODSS_57614_WSLAHD.1,WA - Water Corporation,-33.385948,116.0100675,WA
Wells Station pluvio,570819,"ACT - Environment, Planning and Sustainable Development Directorate",-35.18770153,149.1416624,ACT
WELSHMANS @ HEPBURN,407310,"VIC - Department of Environment, Land, Water and Planning",-37.30449778,144.1409287,VIC
Welshpool Depot,509359,WA - Department of Water and Environmental Regulation,-31.98545912,115.9310348,WA
WELUMBA @ THE SQUARE,401016,"NSW - Department of Planning, Industry and Environment – Water",-36.0337,148.1197,NSW
Wenlock_R  Moreton,925001A,"QLD - Department of Regional Development, Manufacturing and Water",-12.454008,142.639199,QLD
Wenlock_R Jacks Camp,925003A,"QLD - Department of Regional Development, Manufacturing and Water",-12.40902778,142.3046944,QLD
Wenlock_R Wenlock,925002A,"QLD - Department of Regional Development, Manufacturing and Water",-13.09655556,142.9420833,QLD
WENTWORTH @TABBERA'A,224214,"VIC - Department of Environment, Land, Water and Planning",-37.49524466,147.3937727,VIC
WENTWORTH CANAL - B/L HORNES CREEK,256.1,TAS - Hydro-electric Corporation (Hydro Tasmania),-42.27380556,146.3912222,TAS
WER-COBBLEDICKS FORD,231208A,VIC - Melbourne Water Corporation (Melbourne Water),-37.8201,144.582,VIC
WEROMBI,212244,"NSW - Department of Planning, Industry and Environment – Water",-33.97944444,150.5591667,NSW
WERRIBBE STH DR 11,231719A,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.94282,144.67183,VIC
WERRIBEE @ BACCHUS,231200,"VIC - Department of Environment, Land, Water and Planning",-37.68101727,144.4282675,VIC
WERRIBEE @ BACCHUS,231200B,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.68094722,144.4282806,VIC
WERRIBEE @ BALLAN,231225,"VIC - Department of Environment, Land, Water and Planning",-37.59980544,144.2491928,VIC
WERRIBEE @ BALLAN,231225A,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.59949,144.24907,VIC
WERRIBEE @ DIV. WEIR,231204,"VIC - Department of Environment, Land, Water and Planning",-37.87952634,144.6455655,VIC
WERRIBEE @ DIV. WEIR,231204B,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.87952634,144.6455655,VIC
WERRIBEE @ M.WEIR,231703A,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.61213,144.28314,VIC
WERRIBEE @ MELTON,231221,"VIC - Department of Environment, Land, Water and Planning",-37.74471,144.56932,VIC
WERRIBEE @ MELTON,231205,"VIC - Department of Environment, Land, Water and Planning",-37.74622874,144.5725944,VIC
WERRIBEE @ MELTON,231226,"VIC - Department of Environment, Land, Water and Planning",-37.75,144.575,VIC
WERRIBEE @ MELTON,231205D,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.74622874,144.5725944,VIC
WERRIBEE DEL O/FALL,231709,"VIC - Department of Environment, Land, Water and Planning",-37.97644158,144.6147631,VIC
