"Data Owner","Cluster","Count","Location","Longitude","Latitude","Stations","Percentage"
"NT - Department of Environment, Parks and Water Security","23","24","NT","130.095656595446","-15.8036200536828",54," 9.52"
"WA - Department of Water and Environmental Regulation","23","59","WA","128.7183274","-15.57206993",89," 3.57"
"WA - Water Corporation","23","11","WA","128.510288000019","-15.8413682463041",41," 0.67"
"NT - Department of Environment, Parks and Water Security","24","164","NT","133.626973536824","-14.1285051539613",194,"65.08"
"NT - Power and Water Corporation (Power and Water)","24","1","NT","130.9728375","-12.83031358",31," 0.40"
"NT - Department of Environment, Parks and Water Security","28","11","NT","134.970602093894","-20.0959650468322",41," 4.37"
"NT - Department of Environment, Parks and Water Security","34","7","NT","131.523856272832","-16.367198102335",37," 2.78"
"NT - Department of Environment, Parks and Water Security","40","5","NT","135.835548531909","-16.4424535640296",35," 1.98"
"NT - Department of Environment, Parks and Water Security","49","2","NT","129.387349","-23.296506",32," 0.79"
"QLD - Cairns Regional Council","25","1","QLD","145.6746228","-16.97947521",31," 0.07"
"QLD - Department of Regional Development, Manufacturing and Water","25","152","QLD","144.411362969227","-17.6402228078851",182,"11.27"
"QLD - SunWater","25","2","QLD","145.543813","-17.16315",32," 0.15"
"QLD - Department of Regional Development, Manufacturing and Water","14","259","QLD","151.5986143","-27.67527961",289,"19.20"
"QLD - Queensland Bulk Water Supply Authority (Seqwater)","14","10","QLD","152.527376894395","-26.9313575287992",40," 0.74"
"QLD - SunWater","14","41","QLD","152.117141063321","-25.8334476964733",71," 3.04"
"QLD - Toowoomba Regional Council","14","3","QLD","152.096825057979","-27.3086394384836",33," 0.22"
"QLD - Department of Regional Development, Manufacturing and Water","22","112","QLD","145.794039500151","-19.7840429551835",142," 8.30"
"QLD - SunWater","22","7","QLD","147.125159216882","-19.8910673518522",37," 0.52"
"QLD - Townsville City Council","22","2","QLD","146.1469045","-18.954914",32," 0.15"
"QLD - Department of Regional Development, Manufacturing and Water","29","13","QLD","145.23297886369","-24.9145902586748",43," 0.96"
"QLD - Department of Regional Development, Manufacturing and Water","31","79","QLD","148.290000362554","-21.4056105484481",109," 5.86"
"QLD - SunWater","31","11","QLD","147.810813389239","-20.5970472781458",41," 0.82"
"QLD - Department of Regional Development, Manufacturing and Water","32","30","QLD","142.83644479146","-15.1926932326042",60," 2.22"
"QLD - Department of Regional Development, Manufacturing and Water","33","16","QLD","142.4788420282","-12.300077854776",46," 1.19"
"QLD - Department of Regional Development, Manufacturing and Water","35","128","QLD","149.551949112779","-25.2577658028281",158," 9.49"
"QLD - Gladstone Area Water Board","35","3","QLD","151.250804932283","-24.1817522323288",33," 0.22"
"QLD - Livingstone Shire Council","35","1","QLD","150.6916227","-23.00390182",31," 0.07"
